"Species","Citation_Key"
"Pacific Oyster","pacific_oyster_ref"
"Olympia Oyster","olympia_oyster_ref"
"Geoduck","geoduck_ref"
"Razor Clam","razor_clam_ref"
"Blue Mussel","blue_mussel_ref"
"Scallop","scallop_ref"
"Red Abalone","red_abalone_ref"
"California Mussel","cal_mussel_ref"
"Bull Kelp","bull_kelp_ref"
"Giant Kelp","giant_kelp_ref"
"Sugar Kelp","sugar_kelp_ref"
"Dulse","dulse_ref"
"Sea Lettuce","sea_lettuce_ref"
"Winged Kelp","winged_kelp_ref"
"Pyropia (Nori)","pyropia_ref"
"Green Sea Urchin","green_urchin_ref"
"Red Sea Urchin","red_urchin_ref"
"Chinook Salmon","chinook_salmon_ref"
"Coho Salmon","coho_salmon_ref"
"Steelhead Trout","steelhead_ref"
"Pacific Halibut","pac_halibut_ref"
"Sablefish","sablefish_ref"
"Pacific Sardine","pac_sardine_ref"
"Northern Anchovy","anchovy_ref"
"California Halibut","cal_halibut_ref"
"Rainbow Trout","rainbow_trout_ref"
"California Yellowtail","yellowtail_ref"
"Dungeness Crab","dungeness_ref"
"Spiny Lobster","spiny_lobster_ref"
